GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
safetynet-alert,com.safetynet.safetynet_alert.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
safetynet-alert,com.safetynet.safetynet_alert.exception,AlreadyExistsException,0,4,0,0,0,2,0,1,0,1
safetynet-alert,com.safetynet.safetynet_alert.exception,GlobalExceptionHandler,23,53,0,0,7,16,1,4,1,4
safetynet-alert,com.safetynet.safetynet_alert.exception,DataRepositoryException,4,0,0,0,2,0,1,0,1,0
safetynet-alert,com.safetynet.safetynet_alert,SafetynetAlertApplication,5,7,0,0,2,4,1,2,1,2
safetynet-alert,com.safetynet.safetynet_alert.service,FireStationService,20,671,1,19,6,158,2,41,1,32
safetynet-alert,com.safetynet.safetynet_alert.service,MedicalRecordService,0,194,0,2,0,44,0,9,0,8
safetynet-alert,com.safetynet.safetynet_alert.service,PersonService,10,462,6,18,2,102,6,28,0,22
safetynet-alert,com.safetynet.safetynet_alert.repository,PersonRepository,9,6,0,0,2,3,1,1,1,1
safetynet-alert,com.safetynet.safetynet_alert.repository,DataRepository,32,62,0,0,9,15,1,4,1,4
safetynet-alert,com.safetynet.safetynet_alert.controller,PersonController,0,31,0,0,0,11,0,6,0,6
safetynet-alert,com.safetynet.safetynet_alert.controller,MedicalRecordController,0,21,0,0,0,9,0,4,0,4
safetynet-alert,com.safetynet.safetynet_alert.controller,FireStationController,0,56,1,3,0,17,1,10,0,9
safetynet-alert,com.safetynet.safetynet_alert.dto,FireResponse,0,9,0,0,0,1,0,1,0,1
safetynet-alert,com.safetynet.safetynet_alert.dto,FloodDTO,0,9,0,0,0,1,0,1,0,1
safetynet-alert,com.safetynet.safetynet_alert.dto,ChildAlertChildDTO,0,12,0,0,0,1,0,1,0,1
safetynet-alert,com.safetynet.safetynet_alert.dto,PersonFullNameDTO,0,103,4,12,0,19,4,13,0,9
safetynet-alert,com.safetynet.safetynet_alert.dto,ChildAlertResponse,0,9,0,0,0,1,0,1,0,1
safetynet-alert,com.safetynet.safetynet_alert.dto,PersonWithMedicalDTO,0,21,0,0,0,1,0,1,0,1
safetynet-alert,com.safetynet.safetynet_alert.dto,FireStationResponse,0,12,0,0,0,1,0,1,0,1
safetynet-alert,com.safetynet.safetynet_alert.dto,FireStationPersonDTO,0,15,0,0,0,1,0,1,0,1
safetynet-alert,com.safetynet.safetynet_alert.dto,PersonByLastNameDTO,0,24,0,0,0,1,0,1,0,1
safetynet-alert,com.safetynet.safetynet_alert.model,Datas,73,18,6,0,14,5,4,1,1,1
